Event	category	Latitude	Longitude	Elevation_[m]	Depth_water_[m]	Temp_[°C]	Sal	O2_[µmol/l]	Chl_tot_[µg/l]	Sigma-theta_[kg/m**3]	Attenuation_[1/m]	Ed_[µmol/m**2/s]	Eu_[µmol/m**2/s]	subgroup
0305C#4	0-10	49.9348	-18.4585	-4060.0	3.25	12.505500000000001	35.653000000000006		0.715	26.999	1.001	92.8	3.55	0.0
0305C#4	10-20	49.9348	-18.4585	-4060.0	14.7	12.292	35.632		0.84	27.024	0.954	15.0	0.8	0.0
0305C#4	20-30	49.9348	-18.4585	-4060.0	24.9	12.257	35.645		0.58	27.042	0.816	4.1	0.4	0.0
0305C#4	30-40	49.9348	-18.4585	-4060.0	34.7	12.212	35.64		0.43	27.047	0.733	1.5	0.0	0.0
0305C#4	>40	49.9348	-18.458499999999997	-4060.0	127.60000000000001	11.604800000000001	35.6025		0.12428571428571429	27.108999999999998	0.49657142857142855	0.05714285714285715	0.0	0.0
0405C#8	0-10	49.8469	-18.5308	-4060.0	3.3	12.5565	35.6355	279.35	0.76	26.975	1.0735000000000001	228.2	9.8	0.0
0405C#8	10-20	49.8469	-18.5308	-4060.0	15.3	12.48	35.669	275.8	0.86	27.018	0.803	28.5	1.9	0.0
0405C#8	20-30	49.8469	-18.5308	-4060.0	24.9		35.675	272.5	0.52	27.036	0.661	9.4	0.8	0.0
0405C#8	30-40	49.8469	-18.5308	-4060.0	35.4	12.371	35.678	272.7	0.37	27.045	0.602	3.4	0.4	0.0
0405C#8	>40	49.8469	-18.5308	-4060.0	127.08571428571429	11.930000000000001	35.64228571428571	265.3285714285714	0.09	27.105142857142855	0.45442857142857146	0.38571428571428573	0.0	0.0
0605C#6	0-10	49.6053	-18.4792	-4900.0	3.5	12.613	35.6575	272.3	1.365	26.9805	1.0665	124.1	4.15	0.0
0605C#6	10-20	49.6053	-18.4792	-4900.0	15.1	12.583	35.656	273.3	1.11	26.987	1.03	10.5	0.8	0.0
0605C#6	20-30	49.6053	-18.4792	-4900.0	24.4	12.389	35.662	272.7	0.44	27.031	0.622	3.0	0.0	0.0
0605C#6	30-40	49.6053	-18.4792	-4900.0	33.8	12.335	35.678	268.2	0.18	27.052	0.538	1.1	0.0	0.0
0605C#6	>40	49.6053	-18.4792	-4900.0	81.44	12.030000000000001	35.6618	260.74	0.072	27.0968	0.4506	0.16	0.0	0.0
1105C#6	0-10	49.3111	-18.2308	-4085.0	3.5666666666666664	12.9295	35.648666666666664	269.54999999999995	0.9750000000000001	26.9075	1.109	215.45	9.2	0.3333333333333333
1105C#6	10-20	49.3111	-18.2308	-4085.0	15.2	12.76		270.8	1.14		0.939	21.0	1.1	0.0
1105C#6	20-30	49.3111	-18.2308	-4085.0	24.8		35.657	266.1	0.21	27.086	0.561	5.6	0.4	0.0
1105C#6	>40	49.3111	-18.2308	-4085.0	163.29999999999998	11.484	35.5974	258.71666666666664	0.045000000000000005	27.1402	0.4263333333333333	0.38333333333333336	0.0	0.14285714285714285
1305C#3	0-10	49.1336	-17.7759	-4077.0	4.05	12.903333333333334	35.653333333333336	276.8	1.8199999999999998	26.924500000000002	1.1145	726.75	17.450000000000003	0.5
1305C#3	10-20	49.1336	-17.7759	-4077.0	15.1	12.757	35.65	271.7	1.85	26.946	1.065	76.1	4.1	0.0
1305C#3	20-30	49.1336	-17.7759	-4077.0	26.7	12.426	35.622	271.9	0.75	26.991	0.774	10.5	0.8	0.0
1305C#3	30-40	49.1336	-17.7759	-4077.0	35.1		35.664	267.5	0.08	27.104	0.455	4.1	0.4	0.0
1305C#3	>40	49.1336	-17.7759	-4077.0	148.9125	11.46675	35.58942857142857	260.6571428571429	0.04	27.145	0.42528571428571427	0.7142857142857143	0.0	0.125
1905C#2	0-10	48.5255	-17.3907	-4315.0	2.85	13.7065	35.618	266.8	3.3049999999999997	26.73	1.69	820.9	30.55	0.0
1905C#2	10-20	48.5255	-17.3907	-4315.0	13.7		35.639	260.7	0.98	26.919	0.84	65.6	4.1	0.0
1905C#2	20-30	48.5255	-17.3907	-4315.0	23.7	12.696	35.645	253.7	0.45	26.956	0.681	17.3	1.1	0.0
1905C#2	30-40	48.5255	-17.3907	-4315.0	32.4	12.294	35.637	252.7	0.2	27.029	0.558	7.1	0.4	0.0
1905C#2	>40	48.5255	-17.3907	-4315.0	126.15714285714286	11.4852	35.59914285714286	254.92857142857142	0.05714285714285715	27.13242857142857	0.4321428571428571	0.7571428571428571	0.0	0.0
